"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"24","2023-09-25 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0001                                           ","Purchase                                                                                                                                                                                                ","0.00","50174.00","S-0002              "
"25","2023-09-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0001                                           ","Payment                                                                                                                                                                                                 ","50174.00","0.00","S-0002              "
"26","2023-09-17 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0002                                           ","Purchase                                                                                                                                                                                                ","0.00","15417.00","S-0001              "
"27","2023-09-17 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0002                                           ","Payment                                                                                                                                                                                                 ","15417.00","0.00","S-0001              "
"28","2023-09-18 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0003                                           ","Purchase                                                                                                                                                                                                ","0.00","71190.00","S-0001              "
"29","2023-09-18 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0003                                           ","Payment                                                                                                                                                                                                 ","71190.00","0.00","S-0001              "
"30","2023-09-08 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0004                                           ","Purchase                                                                                                                                                                                                ","0.00","29212.00","S-0001              "
"31","2023-09-08 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0004                                           ","Payment                                                                                                                                                                                                 ","29212.00","0.00","S-0001              "
"32","2023-09-08 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0005                                           ","Purchase                                                                                                                                                                                                ","0.00","68864.00","S-0001              "
"33","2023-09-08 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0005                                           ","Payment                                                                                                                                                                                                 ","68864.00","0.00","S-0001              "
"34","2023-09-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0006                                           ","Purchase                                                                                                                                                                                                ","0.00","29374.00","S-0001              "
"35","2023-09-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0006                                           ","Payment                                                                                                                                                                                                 ","29374.00","0.00","S-0001              "
"36","2023-09-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0007                                           ","Purchase                                                                                                                                                                                                ","0.00","10278.00","S-0001              "
"37","2023-09-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0007                                           ","Payment                                                                                                                                                                                                 ","10278.00","0.00","S-0001              "
"38","2023-09-21 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0008                                           ","Purchase                                                                                                                                                                                                ","0.00","58055.00","S-0003              "
"39","2023-08-31 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0009                                           ","Purchase                                                                                                                                                                                                ","0.00","62950.00","S-0004              "
"40","2023-08-31 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0010                                           ","Purchase                                                                                                                                                                                                ","0.00","236238.00","S-0003              "
"41","2023-10-16 00:00:00","Bank Account                                                                                                                                                                                            ","T-1                                               ","Payment                                                                                                                                                                                                 ","90000.00","0.00","S-0003              "
"42","2023-10-12 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0011                                           ","Purchase                                                                                                                                                                                                ","0.00","1359.00","S-0001              "
"43","2023-10-12 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0011                                           ","Payment                                                                                                                                                                                                 ","1359.00","0.00","S-0001              "
"45","2023-10-12 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0013                                           ","Purchase                                                                                                                                                                                                ","0.00","102026.00","S-0001              "
"46","2023-10-12 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0013                                           ","Payment                                                                                                                                                                                                 ","102026.00","0.00","S-0001              "
"47","2023-10-06 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0014                                           ","Purchase                                                                                                                                                                                                ","0.00","108240.00","S-0004              "
"48","2023-10-19 00:00:00","Bank Account                                                                                                                                                                                            ","T-2                                               ","Payment                                                                                                                                                                                                 ","50000.00","0.00","S-0003              "
"49","2023-10-05 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0015                                           ","Purchase                                                                                                                                                                                                ","0.00","37140.00","S-0003              "
"50","2023-10-13 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0016                                           ","Purchase                                                                                                                                                                                                ","0.00","34680.00","S-0003              "
"51","2023-10-17 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0017                                           ","Purchase                                                                                                                                                                                                ","0.00","40978.00","S-0002              "
"52","2023-10-17 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0017                                           ","Payment                                                                                                                                                                                                 ","40978.00","0.00","S-0002              "
"53","2023-10-24 00:00:00","Bank Account                                                                                                                                                                                            ","T-3                                               ","Payment                                                                                                                                                                                                 ","30000.00","0.00","S-0003              "
"54","2023-11-01 00:00:00","TRIDENT ENTERPRISES                                                                                                                                                                                     ","ST-0018                                           ","Purchase                                                                                                                                                                                                ","0.00","30480.00","S-0005              "
"55","2023-11-01 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0018                                           ","Payment                                                                                                                                                                                                 ","30480.00","0.00","S-0005              "
"56","2023-10-15 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0019                                           ","Purchase                                                                                                                                                                                                ","0.00","34080.00","S-0001              "
"57","2023-10-15 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0019                                           ","Payment                                                                                                                                                                                                 ","34080.00","0.00","S-0001              "
"59","2023-09-22 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0020                                           ","Purchase                                                                                                                                                                                                ","0.00","65601.00","S-0003              "
"60","2023-11-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0021                                           ","Purchase                                                                                                                                                                                                ","0.00","77249.00","S-0001              "
"61","2023-11-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0021                                           ","Payment                                                                                                                                                                                                 ","77249.00","0.00","S-0001              "
"62","2023-11-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0022                                           ","Purchase                                                                                                                                                                                                ","0.00","4706.00","S-0001              "
"63","2023-11-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0022                                           ","Payment                                                                                                                                                                                                 ","4706.00","0.00","S-0001              "
"64","2023-11-11 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0023                                           ","Purchase                                                                                                                                                                                                ","0.00","11157.00","S-0001              "
"65","2023-11-11 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0023                                           ","Payment                                                                                                                                                                                                 ","11157.00","0.00","S-0001              "
"66","2023-11-28 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0024                                           ","Purchase                                                                                                                                                                                                ","0.00","25156.00","S-0002              "
"67","2023-11-28 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0024                                           ","Payment                                                                                                                                                                                                 ","25156.00","0.00","S-0002              "
"68","2023-12-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0025                                           ","Purchase                                                                                                                                                                                                ","0.00","61778.00","S-0001              "
"69","2023-12-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0025                                           ","Payment                                                                                                                                                                                                 ","61778.00","0.00","S-0001              "
"70","2023-12-07 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0026                                           ","Purchase                                                                                                                                                                                                ","0.00","1082.00","S-0001              "
"71","2023-12-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0026                                           ","Payment                                                                                                                                                                                                 ","1082.00","0.00","S-0001              "
"72","2023-12-07 00:00:00","LOYAL AGENCIES                                                                                                                                                                                          ","ST-0027                                           ","Purchase                                                                                                                                                                                                ","0.00","19442.00","S-0006              "
"73","2023-12-07 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0027                                           ","Payment                                                                                                                                                                                                 ","19442.00","0.00","S-0006              "
"74","2023-12-06 00:00:00","FIDUSPETLIFE                                                                                                                                                                                            ","ST-0028                                           ","Purchase                                                                                                                                                                                                ","0.00","5713.00","S-0007              "
"75","2023-12-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0029                                           ","Purchase                                                                                                                                                                                                ","0.00","39843.00","S-0001              "
"76","2023-12-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0029                                           ","Payment                                                                                                                                                                                                 ","39843.00","0.00","S-0001              "
"77","2023-12-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0030                                           ","Purchase                                                                                                                                                                                                ","0.00","24693.00","S-0001              "
"78","2023-12-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0030                                           ","Payment                                                                                                                                                                                                 ","24693.00","0.00","S-0001              "
"79","2024-01-26 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0031                                           ","Purchase                                                                                                                                                                                                ","0.00","68651.00","S-0001              "
"80","2024-01-26 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0031                                           ","Payment                                                                                                                                                                                                 ","68651.00","0.00","S-0001              "
"81","2023-12-25 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0032                                           ","Purchase                                                                                                                                                                                                ","0.00","39137.00","S-0002              "
"82","2023-12-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0032                                           ","Payment                                                                                                                                                                                                 ","39137.00","0.00","S-0002              "
"83","2024-01-05 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0033                                           ","Purchase                                                                                                                                                                                                ","0.00","157663.00","S-0001              "
"84","2024-01-05 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0034                                           ","Purchase                                                                                                                                                                                                ","0.00","79838.00","S-0001              "
"85","2024-01-16 00:00:00","LOYAL AGENCIES                                                                                                                                                                                          ","ST-0035                                           ","Purchase                                                                                                                                                                                                ","0.00","18035.00","S-0006              "
"86","2024-01-16 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0035                                           ","Payment                                                                                                                                                                                                 ","18035.00","0.00","S-0006              "
"87","2024-01-16 00:00:00","LOYAL AGENCIES                                                                                                                                                                                          ","ST-0036                                           ","Purchase                                                                                                                                                                                                ","0.00","29293.00","S-0006              "
"88","2024-01-16 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0036                                           ","Payment                                                                                                                                                                                                 ","29293.00","0.00","S-0006              "
"89","2024-01-16 00:00:00","LOYAL AGENCIES                                                                                                                                                                                          ","ST-0037                                           ","Purchase                                                                                                                                                                                                ","0.00","5387.00","S-0006              "
"90","2024-01-16 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0037                                           ","Payment                                                                                                                                                                                                 ","5387.00","0.00","S-0006              "
"91","2024-01-29 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0038                                           ","Purchase                                                                                                                                                                                                ","0.00","57613.00","S-0002              "
"92","2024-01-29 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0038                                           ","Payment                                                                                                                                                                                                 ","57613.00","0.00","S-0002              "
"93","2024-01-29 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0039                                           ","Purchase                                                                                                                                                                                                ","0.00","152551.00","S-0001              "
"94","2024-01-20 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0040                                           ","Purchase                                                                                                                                                                                                ","0.00","150345.00","S-0001              "
"95","2024-03-08 00:00:00","VM classic                                                                                                                                                                                              ","ST-0041                                           ","Purchase                                                                                                                                                                                                ","0.00","363417.00","S-0008              "
"96","2024-03-08 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0041                                           ","Payment                                                                                                                                                                                                 ","363417.00","0.00","S-0008              "
"97","2024-03-12 00:00:00","sri meenakshi enterprises                                                                                                                                                                               ","ST-0042                                           ","Purchase                                                                                                                                                                                                ","0.00","22567.00","S-0009              "
"98","2024-03-12 00:00:00","sri meenakshi enterprises                                                                                                                                                                               ","ST-0043                                           ","Purchase                                                                                                                                                                                                ","0.00","2128.00","S-0009              "
"99","2024-03-12 00:00:00","sri meenakshi enterprises                                                                                                                                                                               ","PR-0001                                           ","Purchase Return                                                                                                                                                                                         ","21868.00","0.00","S-0009              "
"100","2024-03-25 00:00:00","VM classic                                                                                                                                                                                              ","ST-0044                                           ","Purchase                                                                                                                                                                                                ","0.00","121850.00","S-0008              "
"101","2024-03-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0044                                           ","Payment                                                                                                                                                                                                 ","121850.00","0.00","S-0008              "
"102","2024-04-03 00:00:00","VM classic                                                                                                                                                                                              ","ST-0045                                           ","Purchase                                                                                                                                                                                                ","0.00","141533.00","S-0008              "
"103","2024-04-03 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0045                                           ","Payment                                                                                                                                                                                                 ","141533.00","0.00","S-0008              "
"104","2024-04-13 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0046                                           ","Purchase                                                                                                                                                                                                ","0.00","83076.00","S-0001              "
"105","2024-02-22 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0047                                           ","Purchase                                                                                                                                                                                                ","0.00","109193.00","S-0001              "
"106","2024-02-22 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0048                                           ","Purchase                                                                                                                                                                                                ","0.00","6375.00","S-0001              "
"107","2024-04-05 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0049                                           ","Purchase                                                                                                                                                                                                ","0.00","1028.00","S-0001              "
"108","2024-04-05 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0050                                           ","Purchase                                                                                                                                                                                                ","0.00","107267.00","S-0001              "
"109","2024-03-27 00:00:00","Bank Account                                                                                                                                                                                            ","T-4                                               ","Payment                                                                                                                                                                                                 ","115575.00","0.00","S-0001              "
"110","2024-04-19 00:00:00","Bank Account                                                                                                                                                                                            ","T-5                                               ","Payment                                                                                                                                                                                                 ","27273.00","0.00","S-0001              "
"111","2024-03-05 00:00:00","Bank Account                                                                                                                                                                                            ","T-6                                               ","Payment                                                                                                                                                                                                 ","35000.00","0.00","S-0001              "
"112","2024-02-22 00:00:00","Bank Account                                                                                                                                                                                            ","T-7                                               ","Payment                                                                                                                                                                                                 ","150352.00","0.00","S-0001              "
"113","2024-01-30 00:00:00","Bank Account                                                                                                                                                                                            ","T-8                                               ","Payment                                                                                                                                                                                                 ","90000.00","0.00","S-0001              "
"114","2024-02-03 00:00:00","Bank Account                                                                                                                                                                                            ","T-9                                               ","Payment                                                                                                                                                                                                 ","147087.00","0.00","S-0001              "
"115","2024-04-13 00:00:00","Bank Account                                                                                                                                                                                            ","T-10                                              ","Payment                                                                                                                                                                                                 ","90674.00","0.00","S-0001              "
"116","2024-02-27 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0051                                           ","Purchase                                                                                                                                                                                                ","0.00","41879.00","S-0002              "
"117","2024-02-27 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0051                                           ","Payment                                                                                                                                                                                                 ","41879.00","0.00","S-0002              "
"118","2024-03-28 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0052                                           ","Purchase                                                                                                                                                                                                ","0.00","56196.00","S-0002              "
"119","2024-03-28 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0052                                           ","Payment                                                                                                                                                                                                 ","56196.00","0.00","S-0002              "
"120","2024-04-15 00:00:00","VM classic                                                                                                                                                                                              ","ST-0053                                           ","Purchase                                                                                                                                                                                                ","0.00","387665.00","S-0008              "
"121","2024-04-15 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0053                                           ","Payment                                                                                                                                                                                                 ","387665.00","0.00","S-0008              "
"122","2024-04-23 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0054                                           ","Purchase                                                                                                                                                                                                ","0.00","57991.00","S-0001              "
"123","2024-04-23 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0055                                           ","Purchase                                                                                                                                                                                                ","0.00","11360.00","S-0001              "
"124","2024-05-02 00:00:00","sri meenakshi enterprises                                                                                                                                                                               ","ST-0056                                           ","Purchase                                                                                                                                                                                                ","0.00","14041.00","S-0009              "
"125","2024-04-25 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0057                                           ","Purchase                                                                                                                                                                                                ","0.00","54725.00","S-0002              "
"126","2024-04-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0057                                           ","Payment                                                                                                                                                                                                 ","54725.00","0.00","S-0002              "
"127","2024-05-13 00:00:00","VM classic                                                                                                                                                                                              ","ST-0058                                           ","Purchase                                                                                                                                                                                                ","0.00","253822.00","S-0008              "
"128","2024-05-13 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0058                                           ","Payment                                                                                                                                                                                                 ","253822.00","0.00","S-0008              "
"129","2024-05-31 00:00:00","VM classic                                                                                                                                                                                              ","ST-0059                                           ","Purchase                                                                                                                                                                                                ","0.00","527031.00","S-0008              "
"130","2024-05-31 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0059                                           ","Payment                                                                                                                                                                                                 ","527031.00","0.00","S-0008              "
"131","2024-05-26 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0060                                           ","Purchase                                                                                                                                                                                                ","0.00","87311.00","S-0001              "
"132","2024-05-30 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0061                                           ","Purchase                                                                                                                                                                                                ","0.00","100263.00","S-0001              "
"133","2024-04-30 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0062                                           ","Purchase                                                                                                                                                                                                ","0.00","2434.00","S-0001              "
"134","2024-04-30 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0063                                           ","Purchase                                                                                                                                                                                                ","0.00","110139.00","S-0001              "
"135","2024-06-08 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0064                                           ","Purchase                                                                                                                                                                                                ","0.00","6654.00","S-0001              "
"136","2024-06-10 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0065                                           ","Purchase                                                                                                                                                                                                ","0.00","23802.00","S-0001              "
"137","2024-06-29 00:00:00","VM classic                                                                                                                                                                                              ","ST-0066                                           ","Purchase                                                                                                                                                                                                ","0.00","177849.00","S-0008              "
"138","2024-06-29 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0066                                           ","Payment                                                                                                                                                                                                 ","177849.00","0.00","S-0008              "
"139","2024-06-25 00:00:00","VM classic                                                                                                                                                                                              ","ST-0067                                           ","Purchase                                                                                                                                                                                                ","0.00","277831.00","S-0008              "
"140","2024-06-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0067                                           ","Payment                                                                                                                                                                                                 ","277831.00","0.00","S-0008              "
"141","2024-06-28 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0068                                           ","Purchase                                                                                                                                                                                                ","0.00","34275.00","S-0001              "
"142","2024-06-21 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0069                                           ","Purchase                                                                                                                                                                                                ","0.00","165345.00","S-0001              "
"143","2024-07-09 00:00:00","VM classic                                                                                                                                                                                              ","ST-0070                                           ","Purchase                                                                                                                                                                                                ","0.00","191799.00","S-0008              "
"144","2024-07-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0070                                           ","Payment                                                                                                                                                                                                 ","191799.00","0.00","S-0008              "
"145","2024-07-12 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0071                                           ","Purchase                                                                                                                                                                                                ","0.00","35460.00","S-0001              "
"146","2024-07-12 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0071                                           ","Payment                                                                                                                                                                                                 ","35460.00","0.00","S-0001              "
"147","2024-07-11 00:00:00","VM classic                                                                                                                                                                                              ","ST-0072                                           ","Purchase                                                                                                                                                                                                ","0.00","194138.00","S-0008              "
"148","2024-07-11 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0072                                           ","Payment                                                                                                                                                                                                 ","194138.00","0.00","S-0008              "
"149","2024-05-25 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0073                                           ","Purchase                                                                                                                                                                                                ","0.00","51087.00","S-0002              "
"150","2024-05-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0073                                           ","Payment                                                                                                                                                                                                 ","51087.00","0.00","S-0002              "
"151","2024-06-26 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0074                                           ","Purchase                                                                                                                                                                                                ","0.00","50688.00","S-0002              "
"152","2024-06-26 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0074                                           ","Payment                                                                                                                                                                                                 ","50688.00","0.00","S-0002              "
"153","2024-07-19 00:00:00","VM classic                                                                                                                                                                                              ","ST-0075                                           ","Purchase                                                                                                                                                                                                ","0.00","186512.00","S-0008              "
"154","2024-07-19 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0075                                           ","Payment                                                                                                                                                                                                 ","186512.00","0.00","S-0008              "
"155","2024-07-29 00:00:00","VM classic                                                                                                                                                                                              ","ST-0076                                           ","Purchase                                                                                                                                                                                                ","0.00","430861.00","S-0008              "
"156","2024-07-29 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0076                                           ","Payment                                                                                                                                                                                                 ","430861.00","0.00","S-0008              "
"157","2024-07-27 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0077                                           ","Purchase                                                                                                                                                                                                ","0.00","52434.00","S-0002              "
"158","2024-07-27 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0077                                           ","Payment                                                                                                                                                                                                 ","52434.00","0.00","S-0002              "
"159","2024-08-15 00:00:00","VM classic                                                                                                                                                                                              ","ST-0078                                           ","Purchase                                                                                                                                                                                                ","0.00","835421.00","S-0008              "
"160","2024-08-15 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0078                                           ","Payment                                                                                                                                                                                                 ","835421.00","0.00","S-0008              "
"161","2024-08-13 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0079                                           ","Purchase                                                                                                                                                                                                ","0.00","33556.00","S-0002              "
"162","2024-08-13 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0079                                           ","Payment                                                                                                                                                                                                 ","33556.00","0.00","S-0002              "
"163","2024-08-27 00:00:00","VM classic                                                                                                                                                                                              ","ST-0080                                           ","Purchase                                                                                                                                                                                                ","0.00","299612.00","S-0008              "
"164","2024-08-27 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0080                                           ","Payment                                                                                                                                                                                                 ","299612.00","0.00","S-0008              "
"165","2024-09-05 00:00:00","VM classic                                                                                                                                                                                              ","ST-0081                                           ","Purchase                                                                                                                                                                                                ","0.00","387067.00","S-0008              "
"166","2024-09-05 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0081                                           ","Payment                                                                                                                                                                                                 ","387067.00","0.00","S-0008              "
"167","2024-09-20 00:00:00","VM classic                                                                                                                                                                                              ","ST-0082                                           ","Purchase                                                                                                                                                                                                ","0.00","291835.00","S-0008              "
"168","2024-09-20 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0082                                           ","Payment                                                                                                                                                                                                 ","291835.00","0.00","S-0008              "
"169","2024-09-15 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0083                                           ","Purchase                                                                                                                                                                                                ","0.00","189971.00","S-0001              "
"170","2024-09-27 00:00:00","VM classic                                                                                                                                                                                              ","ST-0084                                           ","Purchase                                                                                                                                                                                                ","0.00","466457.00","S-0008              "
"171","2024-09-27 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0084                                           ","Payment                                                                                                                                                                                                 ","466457.00","0.00","S-0008              "
"172","2024-09-27 00:00:00","VM classic                                                                                                                                                                                              ","ST-0085                                           ","Purchase                                                                                                                                                                                                ","0.00","75063.00","S-0008              "
"173","2024-09-27 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0085                                           ","Payment                                                                                                                                                                                                 ","75063.00","0.00","S-0008              "
"176","2024-09-12 00:00:00","VM classic                                                                                                                                                                                              ","ST-0086                                           ","Purchase                                                                                                                                                                                                ","0.00","3481.00","S-0008              "
"177","2024-09-12 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0086                                           ","Payment                                                                                                                                                                                                 ","3481.00","0.00","S-0008              "
"178","2024-08-30 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0087                                           ","Purchase                                                                                                                                                                                                ","0.00","31680.00","S-0002              "
"179","2024-08-30 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0087                                           ","Payment                                                                                                                                                                                                 ","31680.00","0.00","S-0002              "
"180","2024-10-18 00:00:00","VM classic                                                                                                                                                                                              ","ST-0088                                           ","Purchase                                                                                                                                                                                                ","0.00","238168.00","S-0008              "
"181","2024-10-18 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0088                                           ","Payment                                                                                                                                                                                                 ","238168.00","0.00","S-0008              "
"182","2024-10-25 00:00:00","VM classic                                                                                                                                                                                              ","ST-0089                                           ","Purchase                                                                                                                                                                                                ","0.00","621627.00","S-0008              "
"183","2024-10-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0089                                           ","Payment                                                                                                                                                                                                 ","621627.00","0.00","S-0008              "
"184","2024-11-04 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0090                                           ","Purchase                                                                                                                                                                                                ","0.00","90970.00","S-0001              "
"185","2024-10-28 00:00:00","ROYAL CANIN                                                                                                                                                                                             ","ST-0091                                           ","Purchase                                                                                                                                                                                                ","0.00","625663.00","S-0010              "
"186","2024-10-28 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0091                                           ","Payment                                                                                                                                                                                                 ","625663.00","0.00","S-0010              "
"187","2024-10-04 00:00:00","ROYAL CANIN                                                                                                                                                                                             ","ST-0092                                           ","Purchase                                                                                                                                                                                                ","0.00","499765.00","S-0010              "
"188","2024-10-04 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0092                                           ","Payment                                                                                                                                                                                                 ","499765.00","0.00","S-0010              "
"189","2024-11-13 00:00:00","VM classic                                                                                                                                                                                              ","ST-0093                                           ","Purchase                                                                                                                                                                                                ","0.00","424006.00","S-0008              "
"190","2024-11-13 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0093                                           ","Payment                                                                                                                                                                                                 ","424006.00","0.00","S-0008              "
"191","2024-11-18 00:00:00","VM classic                                                                                                                                                                                              ","ST-0094                                           ","Purchase                                                                                                                                                                                                ","0.00","330120.00","S-0008              "
"192","2024-11-18 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0094                                           ","Payment                                                                                                                                                                                                 ","330120.00","0.00","S-0008              "
"193","2024-11-25 00:00:00","VM classic                                                                                                                                                                                              ","ST-0095                                           ","Purchase                                                                                                                                                                                                ","0.00","414422.00","S-0008              "
"194","2024-11-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0095                                           ","Payment                                                                                                                                                                                                 ","414422.00","0.00","S-0008              "
